bundle_basket,completeness_status,gross_edge,known_total_candidates,net_edge_after_costs,observed_candidates,rejection_reason,signal_ts_ms,space_attribution_status,space_id,sum_yes_prices
none,unknown,0.0125,,-0.2075,44,net_edge_below_threshold,1772766030000,bundle_space,2028_democrats_presidential_nomination,0.9875
none,unknown,0.0125,,-0.2075,44,net_edge_below_threshold,1772769630000,bundle_space,2028_democrats_presidential_nomination,0.9875
none,unknown,0.0125,,-0.2075,44,net_edge_below_threshold,1772773230000,bundle_space,2028_democrats_presidential_nomination,0.9875
none,unknown,0.0205,,-0.1995,44,net_edge_below_threshold,1772802030000,bundle_space,2028_democrats_presidential_nomination,0.9795
none,unknown,0.0205,,-0.1995,44,net_edge_below_threshold,1772805630000,bundle_space,2028_democrats_presidential_nomination,0.9795
none,unknown,0.0205,,-0.1995,44,net_edge_below_threshold,1772809230000,bundle_space,2028_democrats_presidential_nomination,0.9795
none,unknown,0.0205,,-0.1995,44,net_edge_below_threshold,1772812830000,bundle_space,2028_democrats_presidential_nomination,0.9795
none,unknown,0.0205,,-0.1995,44,net_edge_below_threshold,1772816430000,bundle_space,2028_democrats_presidential_nomination,0.9795
none,unknown,0.015,,-0.205,44,net_edge_below_threshold,1772845230000,bundle_space,2028_democrats_presidential_nomination,0.985
none,unknown,0.015,,-0.205,44,net_edge_below_threshold,1772848830000,bundle_space,2028_democrats_presidential_nomination,0.985
none,unknown,0.015,,-0.205,44,net_edge_below_threshold,1772852430000,bundle_space,2028_democrats_presidential_nomination,0.985
none,unknown,0.015,,-0.205,44,net_edge_below_threshold,1772856030000,bundle_space,2028_democrats_presidential_nomination,0.985
none,unknown,0.015,,-0.205,44,net_edge_below_threshold,1772859630000,bundle_space,2028_democrats_presidential_nomination,0.985
none,unknown,0.0165,,-0.2035,44,net_edge_below_threshold,1772931630000,bundle_space,2028_democrats_presidential_nomination,0.9835
none,unknown,0.0165,,-0.2035,44,net_edge_below_threshold,1772935230000,bundle_space,2028_democrats_presidential_nomination,0.9835
none,unknown,0.0165,,-0.2035,44,net_edge_below_threshold,1772938830000,bundle_space,2028_democrats_presidential_nomination,0.9835
none,unknown,0.0165,,-0.2035,44,net_edge_below_threshold,1772942430000,bundle_space,2028_democrats_presidential_nomination,0.9835
none,unknown,0.0165,,-0.2035,44,net_edge_below_threshold,1772946030000,bundle_space,2028_democrats_presidential_nomination,0.9835
none,unknown,0.019,,-0.201,44,net_edge_below_threshold,1772974830000,bundle_space,2028_democrats_presidential_nomination,0.981
none,unknown,0.019,,-0.201,44,net_edge_below_threshold,1772978430000,bundle_space,2028_democrats_presidential_nomination,0.981
none,unknown,0.019,,-0.201,44,net_edge_below_threshold,1772982030000,bundle_space,2028_democrats_presidential_nomination,0.981
none,unknown,0.019,,-0.201,44,net_edge_below_threshold,1772985630000,bundle_space,2028_democrats_presidential_nomination,0.981
none,unknown,0.019,,-0.201,44,net_edge_below_threshold,1772989230000,bundle_space,2028_democrats_presidential_nomination,0.981
none,unknown,0.0225,,-0.1975,44,net_edge_below_threshold,1773018030000,bundle_space,2028_democrats_presidential_nomination,0.9775
none,unknown,0.0225,,-0.1975,44,net_edge_below_threshold,1773021630000,bundle_space,2028_democrats_presidential_nomination,0.9775
none,unknown,0.0225,,-0.1975,44,net_edge_below_threshold,1773025230000,bundle_space,2028_democrats_presidential_nomination,0.9775
none,unknown,0.0225,,-0.1975,44,net_edge_below_threshold,1773028830000,bundle_space,2028_democrats_presidential_nomination,0.9775
none,unknown,0.0225,,-0.1975,44,net_edge_below_threshold,1773032430000,bundle_space,2028_democrats_presidential_nomination,0.9775
none,unknown,0.03,,-0.19,44,net_edge_below_threshold,1773061230000,bundle_space,2028_democrats_presidential_nomination,0.97
none,unknown,0.03,,-0.19,44,net_edge_below_threshold,1773064830000,bundle_space,2028_democrats_presidential_nomination,0.97
none,unknown,0.03,,-0.19,44,net_edge_below_threshold,1773068430000,bundle_space,2028_democrats_presidential_nomination,0.97
none,unknown,0.03,,-0.19,44,net_edge_below_threshold,1773072030000,bundle_space,2028_democrats_presidential_nomination,0.97
none,unknown,0.03,,-0.19,44,net_edge_below_threshold,1773075630000,bundle_space,2028_democrats_presidential_nomination,0.97
none,unknown,0.0355,,-0.1845,44,net_edge_below_threshold,1773104430000,bundle_space,2028_democrats_presidential_nomination,0.9645
none,unknown,0.0355,,-0.1845,44,net_edge_below_threshold,1773108030000,bundle_space,2028_democrats_presidential_nomination,0.9645
none,unknown,0.0355,,-0.1845,44,net_edge_below_threshold,1773111630000,bundle_space,2028_democrats_presidential_nomination,0.9645
none,unknown,0.0355,,-0.1845,44,net_edge_below_threshold,1773115230000,bundle_space,2028_democrats_presidential_nomination,0.9645
none,unknown,0.0355,,-0.1845,44,net_edge_below_threshold,1773118830000,bundle_space,2028_democrats_presidential_nomination,0.9645
none,unknown,0.034,,-0.186,44,net_edge_below_threshold,1773147630000,bundle_space,2028_democrats_presidential_nomination,0.966
none,unknown,0.034,,-0.186,44,net_edge_below_threshold,1773151230000,bundle_space,2028_democrats_presidential_nomination,0.966
none,unknown,0.034,,-0.186,44,net_edge_below_threshold,1773154830000,bundle_space,2028_democrats_presidential_nomination,0.966
none,unknown,0.034,,-0.186,44,net_edge_below_threshold,1773158430000,bundle_space,2028_democrats_presidential_nomination,0.966
none,unknown,0.034,,-0.186,44,net_edge_below_threshold,1773162030000,bundle_space,2028_democrats_presidential_nomination,0.966
none,unknown,0.0255,,-0.1945,44,net_edge_below_threshold,1773190830000,bundle_space,2028_democrats_presidential_nomination,0.9745
none,unknown,0.0255,,-0.1945,44,net_edge_below_threshold,1773194430000,bundle_space,2028_democrats_presidential_nomination,0.9745
none,unknown,0.0255,,-0.1945,44,net_edge_below_threshold,1773198030000,bundle_space,2028_democrats_presidential_nomination,0.9745
none,unknown,0.0255,,-0.1945,44,net_edge_below_threshold,1773201630000,bundle_space,2028_democrats_presidential_nomination,0.9745
none,unknown,0.0255,,-0.1945,44,net_edge_below_threshold,1773205230000,bundle_space,2028_democrats_presidential_nomination,0.9745
none,unknown,0.0315,,-0.1885,44,net_edge_below_threshold,1773450030000,bundle_space,2028_democrats_presidential_nomination,0.9685
none,unknown,0.0315,,-0.1885,44,net_edge_below_threshold,1773453630000,bundle_space,2028_democrats_presidential_nomination,0.9685
none,unknown,0.0315,,-0.1885,44,net_edge_below_threshold,1773457230000,bundle_space,2028_democrats_presidential_nomination,0.9685
none,unknown,0.0315,,-0.1885,44,net_edge_below_threshold,1773460830000,bundle_space,2028_democrats_presidential_nomination,0.9685
none,unknown,0.0315,,-0.1885,44,net_edge_below_threshold,1773464430000,bundle_space,2028_democrats_presidential_nomination,0.9685
none,unknown,0.052,,-0.168,44,net_edge_below_threshold,1773666030000,bundle_space,2028_democrats_presidential_nomination,0.948
none,unknown,0.052,,-0.168,44,net_edge_below_threshold,1773669630000,bundle_space,2028_democrats_presidential_nomination,0.948
none,unknown,0.052,,-0.168,44,net_edge_below_threshold,1773673230000,bundle_space,2028_democrats_presidential_nomination,0.948
none,unknown,0.052,,-0.168,44,net_edge_below_threshold,1773676830000,bundle_space,2028_democrats_presidential_nomination,0.948
none,unknown,0.052,,-0.168,44,net_edge_below_threshold,1773680430000,bundle_space,2028_democrats_presidential_nomination,0.948
none,unknown,0.047,,-0.173,44,net_edge_below_threshold,1773709230000,bundle_space,2028_democrats_presidential_nomination,0.953
none,unknown,0.047,,-0.173,44,net_edge_below_threshold,1773712830000,bundle_space,2028_democrats_presidential_nomination,0.953
none,unknown,0.047,,-0.173,44,net_edge_below_threshold,1773716430000,bundle_space,2028_democrats_presidential_nomination,0.953
none,unknown,0.047,,-0.173,44,net_edge_below_threshold,1773720030000,bundle_space,2028_democrats_presidential_nomination,0.953
none,unknown,0.047,,-0.173,44,net_edge_below_threshold,1773723630000,bundle_space,2028_democrats_presidential_nomination,0.953
none,unknown,0.0535,,-0.1665,44,net_edge_below_threshold,1773752430000,bundle_space,2028_democrats_presidential_nomination,0.9465
none,unknown,0.0535,,-0.1665,44,net_edge_below_threshold,1773756030000,bundle_space,2028_democrats_presidential_nomination,0.9465
none,unknown,0.0535,,-0.1665,44,net_edge_below_threshold,1773759630000,bundle_space,2028_democrats_presidential_nomination,0.9465
none,unknown,0.0535,,-0.1665,44,net_edge_below_threshold,1773763230000,bundle_space,2028_democrats_presidential_nomination,0.9465
none,unknown,0.0535,,-0.1665,44,net_edge_below_threshold,1773766830000,bundle_space,2028_democrats_presidential_nomination,0.9465
none,unknown,0.0535,,-0.1665,44,net_edge_below_threshold,1773795630000,bundle_space,2028_democrats_presidential_nomination,0.9465
none,unknown,0.0535,,-0.1665,44,net_edge_below_threshold,1773799230000,bundle_space,2028_democrats_presidential_nomination,0.9465
none,unknown,0.0535,,-0.1665,44,net_edge_below_threshold,1773802830000,bundle_space,2028_democrats_presidential_nomination,0.9465
none,unknown,0.0535,,-0.1665,44,net_edge_below_threshold,1773806430000,bundle_space,2028_democrats_presidential_nomination,0.9465
none,unknown,0.0535,,-0.1665,44,net_edge_below_threshold,1773810030000,bundle_space,2028_democrats_presidential_nomination,0.9465
none,unknown,0.0285,,-0.1915,44,net_edge_below_threshold,1773925230000,bundle_space,2028_democrats_presidential_nomination,0.9715
none,unknown,0.0285,,-0.1915,44,net_edge_below_threshold,1773928830000,bundle_space,2028_democrats_presidential_nomination,0.9715
none,unknown,0.0285,,-0.1915,44,net_edge_below_threshold,1773932430000,bundle_space,2028_democrats_presidential_nomination,0.9715
none,unknown,0.0285,,-0.1915,44,net_edge_below_threshold,1773936030000,bundle_space,2028_democrats_presidential_nomination,0.9715
