accepted_trades,alignment_mode,avg_trade_pnl,cooldown_minutes,credibility_label,distinct_bundles_traded,distinct_relationships_traded,dominant_trade_share_of_pnl,exposure_used,max_drawdown,max_exposure_per_space,max_loss,max_stake_per_trade,max_win,median_trade_pnl,min_confidence,min_edge,overfit_warning,parameter_set_id,positive_after_costs,raw_fills,reentry_policy,robustness_score,simulated_pnl,sizing_policy,slippage_bps,slippage_paid,space_id,strategy_family,unique_violation_windows,win_rate
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,50.0,0.0,500.0,0.0,25.0,0.0,0.0,0.7,0.0,True,9cb4f8f4b5ee,False,2,first_violation_only,0.25,0.0,flat_small,50,0.25,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,10.0,0.0,500.0,0.0,5.0,0.0,0.0,0.35,0.0,True,5eac195b2a4c,False,2,first_violation_only,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,50.0,0.0,100.0,0.0,25.0,0.0,0.0,0.7,0.0,True,b10d70d6cf57,False,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.25,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,500.0,0.0,5.0,0.0,0.0,0.35,0.01,True,c9b8bdee1862,False,2,reenter_after_cooldown,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,50.0,0.0,500.0,0.0,25.0,0.0,0.0,0.7,0.01,True,10337c458a6f,False,2,first_violation_only,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,50.0,0.0,100.0,0.0,25.0,0.0,0.0,0.35,0.0,True,cda767abc4e9,False,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.25,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,50.0,0.0,100.0,0.0,25.0,0.0,0.0,0.7,0.01,True,90ec1e9da866,False,2,first_violation_only,0.25,0.0,flat_small,50,0.25,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,50.0,0.0,500.0,0.0,25.0,0.0,0.0,0.7,0.01,True,61060db0ab2e,False,2,first_violation_only,0.25,0.0,flat_small,50,0.25,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,50.0,0.0,100.0,0.0,25.0,0.0,0.0,0.7,0.01,True,15323622aa9c,False,2,reenter_after_cooldown,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,500.0,0.0,5.0,0.0,0.0,0.35,0.01,True,93e87783f3f2,False,2,first_violation_only,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,50.0,0.0,500.0,0.0,25.0,0.0,0.0,0.35,0.0,True,1c306eb6ea4a,False,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.25,2028_democrats_presidential_nomination,unknown,1,0.4
