market_id,token_id,question,active,closed,end_date_ms
572117,54120517297787449950767396444302816721060398794472692356305596424687388939708,Pierce Brosnan announced as next James Bond?,True,False,2026-06-30T00:00:00Z
577189,75615194763825570253105529908925735637330457129633888605679989963612334234091,Will Kai Havertz be the top goal scorer in the 2025–26 English Premier League season?,True,False,2026-05-27T00:00:00Z
577221,22702151217568226464490525917269671698635793471200188591890325057358807077490,Will Raphinha be the top goal scorer in the 2025–26 La Liga season?,True,False,2026-05-30T00:00:00Z
577229,76794312778172154876533172710848055841220591544022724903757628442504975481665,Will Broja Iglesias be the top goal scorer in the 2025–26 La Liga season?,True,False,2026-05-30T00:00:00Z
577234,110183118205658048480611552004818205608380030301879472767196181141473018245608,Will Vedat Muriqi be the top goal scorer in the 2025–26 La Liga season?,True,False,2026-05-30T00:00:00Z
577246,74056431860682289842871849619463099581884627064723191566088662788504744554943,Will Antoine Griezmann be the top goal scorer in the 2025–26 La Liga season?,True,False,2026-05-30T00:00:00Z
577276,87569871218748662090769146890327376821466803212836644352988286023370072840603,Will Harry Kane be the top goal scorer in the 2025–26 Bundesliga season?,True,False,2026-05-28T00:00:00Z
577286,8013350309980067752092467553989532032941595361116376915087772932251249070671,Will Maximilian Beier be the top goal scorer in the 2025–26 Bundesliga season?,True,False,2026-05-28T00:00:00Z
578411,73944224341187631304428893209762482633837672591436742366407059398002863809689,Will Matias Goncalo Ramos be the top goal scorer in the 2025-26 Ligue 1 season?,True,False,2026-05-30T00:00:00Z
579394,34969317359066707467818300343575076572805390155612294308344602488690142710069,Will Kevin De Bruyne be the top goal scorer in the 2025-26 Serie A season?,True,False,2026-05-28T00:00:00Z
579398,51943596956598942141465836584207695245377193094803992240669612937523261676398,Will Paulo Dybala be the top goal scorer in the 2025-26 Serie A season?,True,False,2026-05-28T00:00:00Z
593974,33970361138937631470073795943535268274491124306414028184433322285876577197264,Will Bernie endorse Dan Osborn for NE-Sen by Nov 2 2026 ET?,True,False,2026-11-30T00:00:00Z
553863,86297520870744792204751483474339201341298076835836561764334428915355504860913,Will the Los Angeles Lakers win the 2026 NBA Finals?,True,False,2026-07-01T00:00:00Z
553871,59742411602053785892348440048778056320272639465974092140970920277782290781360,Will the Detroit Pistons win the 2026 NBA Finals?,True,False,2026-07-01T00:00:00Z
558949,19159976531313550247579355752030367100657092033093647047491459813592996250034,Will Japan win the 2026 FIFA World Cup?,True,False,2026-07-20T00:00:00Z
558951,60447443643099453130956385288904175887233107411078568881602330835010340506057,Will Norway win the 2026 FIFA World Cup?,True,False,2026-07-20T00:00:00Z
559659,57761428076807364758801249497410455358987881775226117256631754592198558850468,Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,True,False,2028-11-07T00:00:00Z
559670,35165603539035270209469650915267170915291414186795231160733227083640059691764,Will Gina Raimondo win the 2028 Democratic presidential nomination?,True,False,2028-11-07T00:00:00Z
