space_id,space_name,domain,space_attribution_status,strategy_families_available,market_count,relationship_count,strict_relationship_count,exploratory_relationship_count,diagnostic_only_relationship_count,price_history_coverage_pct,aligned_tick_count,gross_violation_count,net_violation_count,accepted_trade_count,raw_fill_count,unique_violation_window_count,independent_violation_windows,distinct_relationships_traded,distinct_bundles_traded,simulated_pnl,average_trade_return_pct,median_trade_return_pct,total_trade_cost,total_return_pct,max_drawdown,total_slippage,avg_edge,median_edge,best_edge,worst_trade_pnl,best_trade_pnl,primary_blocker,secondary_blocker,suspicious_flag_count,accepted_trade_suspicious_flag_count,completeness_status,known_total_candidates,dominant_relationship_share_of_pnl,space_grade,recommended_next_action,dominant_trade_share_of_pnl,gross_opportunity_rows,integrity_warning,net_opportunity_rows,raw_replay_fills
2026_will_andy_biggs_win_the_2026_arizona_governor_republican_primary_election_presidential_election_candidate_winner,2026_will_andy_biggs_win_the_2026_arizona_governor_republican_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,2,0,0,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_antonio_villaraigosa_win_the_california_governor_election_in_2026_presidential_election_candidate_winner,2026_will_antonio_villaraigosa_win_the_california_governor_election_in_2026_presidential_election_candidate_winner,,outcome_space,none,0,20,0,0,20,0.9523809523809523,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_arya_azma_win_the_2026_oklahoma_governor_democratic_primary_election_presidential_election_candidate_winner,2026_will_arya_azma_win_the_2026_oklahoma_governor_democratic_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,1,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_asaad_alnajjar_win_the_2026_los_angeles_mayoral_election_presidential_election_candidate_winner,2026_will_asaad_alnajjar_win_the_2026_los_angeles_mayoral_election_presidential_election_candidate_winner,,outcome_space,none,0,43,0,0,43,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_austin_beutner_win_the_2026_los_angeles_mayoral_election_presidential_election_candidate_winner,2026_will_austin_beutner_win_the_2026_los_angeles_mayoral_election_presidential_election_candidate_winner,,outcome_space,none,0,40,0,0,40,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_bae_june_young_win_the_2026_incheon_mayoral_election_presidential_election_candidate_winner,2026_will_bae_june_young_win_the_2026_incheon_mayoral_election_presidential_election_candidate_winner,,outcome_space,none,0,6,0,0,6,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_barbara_kirkmeyer_win_the_2026_colorado_governor_republican_primary_election_presidential_election_candidate_winner,2026_will_barbara_kirkmeyer_win_the_2026_colorado_governor_republican_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,10,0,0,10,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_belinda_robertson_win_the_2026_new_mexico_governor_republican_primary_election_presidential_election_candidate_winner,2026_will_belinda_robertson_win_the_2026_new_mexico_governor_republican_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,6,0,0,6,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_bernadette_wilson_win_the_2026_alaska_governor_election_presidential_election_candidate_winner,2026_will_bernadette_wilson_win_the_2026_alaska_governor_election_presidential_election_candidate_winner,,outcome_space,none,0,41,0,0,41,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_betsy_mccaughey_win_the_2026_connecticut_governor_republican_primary_election_presidential_election_candidate_winner,2026_will_betsy_mccaughey_win_the_2026_connecticut_governor_republican_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,1,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_betsy_mccaughey_win_the_2026_new_york_governor_republican_primary_election_presidential_election_candidate_winner,2026_will_betsy_mccaughey_win_the_2026_new_york_governor_republican_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,2,0,0,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_betty_yee_win_the_california_governor_election_in_2026_presidential_election_candidate_winner,2026_will_betty_yee_win_the_california_governor_election_in_2026_presidential_election_candidate_winner,,outcome_space,none,0,15,0,0,15,0.9375,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_bob_brinkerhoff_win_the_2026_colorado_governor_republican_primary_election_presidential_election_candidate_winner,2026_will_bob_brinkerhoff_win_the_2026_colorado_governor_republican_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,2,0,0,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_brad_raffensperger_win_the_2026_georgia_governor_republican_primary_election_presidential_election_candidate_winner,2026_will_brad_raffensperger_win_the_2026_georgia_governor_republican_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,4,0,0,4,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_brian_cillessen_win_the_2026_new_mexico_governor_republican_primary_election_presidential_election_candidate_winner,2026_will_brian_cillessen_win_the_2026_new_mexico_governor_republican_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,7,0,0,7,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_bruce_walden_win_the_2026_alaska_governor_election_presidential_election_candidate_winner,2026_will_bruce_walden_win_the_2026_alaska_governor_election_presidential_election_candidate_winner,,outcome_space,none,0,35,0,0,35,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_brycen_garrison_win_the_2026_colorado_governor_republican_primary_election_presidential_election_candidate_winner,2026_will_brycen_garrison_win_the_2026_colorado_governor_republican_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,3,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_burt_jones_win_the_2026_georgia_governor_republican_primary_election_presidential_election_candidate_winner,2026_will_burt_jones_win_the_2026_georgia_governor_republican_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,5,0,0,5,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_butch_ware_win_the_california_governor_election_in_2026_presidential_election_candidate_winner,2026_will_butch_ware_win_the_california_governor_election_in_2026_presidential_election_candidate_winner,,outcome_space,none,0,16,0,0,16,0.9411764705882353,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_caleb_kintz_win_the_2026_oregon_governor_republican_primary_election_presidential_election_candidate_winner,2026_will_caleb_kintz_win_the_2026_oregon_governor_republican_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,2,0,0,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_cdu_win_the_most_seats_in_the_2026_berlin_state_elections_presidential_election_candidate_winner,2026_will_cdu_win_the_most_seats_in_the_2026_berlin_state_elections_presidential_election_candidate_winner,,outcome_space,none,0,7,0,0,7,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_chad_bianco_win_the_california_governor_election_in_2026_presidential_election_candidate_winner,2026_will_chad_bianco_win_the_california_governor_election_in_2026_presidential_election_candidate_winner,,outcome_space,none,0,12,0,0,12,0.9230769230769231,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_chael_sonnen_win_the_2026_oregon_governor_republican_primary_election_presidential_election_candidate_winner,2026_will_chael_sonnen_win_the_2026_oregon_governor_republican_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,5,0,0,5,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_charles_mccall_win_the_2026_oklahoma_governor_republican_primary_election_presidential_election_candidate_winner,2026_will_charles_mccall_win_the_2026_oklahoma_governor_republican_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,3,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_chip_keating_win_the_2026_oklahoma_governor_republican_primary_election_presidential_election_candidate_winner,2026_will_chip_keating_win_the_2026_oklahoma_governor_republican_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,6,0,0,6,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_cho_eun_hee_win_the_2026_seoul_mayoral_election_presidential_election_candidate_winner,2026_will_cho_eun_hee_win_the_2026_seoul_mayoral_election_presidential_election_candidate_winner,,outcome_space,none,0,32,0,0,32,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_cho_eung_chun_win_the_2026_gyeonggi_province_gubernatorial_election_presidential_election_candidate_winner,2026_will_cho_eung_chun_win_the_2026_gyeonggi_province_gubernatorial_election_presidential_election_candidate_winner,,outcome_space,none,0,19,0,0,19,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_cho_gil_hyeong_win_the_2026_chungcheongbuk_province_gubernatorial_election_presidential_election_candidate_winner,2026_will_cho_gil_hyeong_win_the_2026_chungcheongbuk_province_gubernatorial_election_presidential_election_candidate_winner,,outcome_space,none,0,7,0,0,7,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_cho_kuk_win_the_2026_busan_mayoral_election_presidential_election_candidate_winner,2026_will_cho_kuk_win_the_2026_busan_mayoral_election_presidential_election_candidate_winner,,outcome_space,none,0,9,0,0,9,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
